x,y,hue,cat,location,name
12.409976,3.0343285,5,"Retail, Retail Technology, Shopping",Bay Area,Standard Cognition
13.640404,6.1525793,5,"Enterprise Software, Human Resources, Machine Learning",Bay Area,Talview Inc
-11.306738,45.982708,5,"Construction, Information Technology, Machine Learning, Software",Bay Area,OpenSpace
-46.574665,-0.7914003,5,"Analytics, Information Technology, Software",Bay Area,EARTH AI
-23.564707,-36.02448,5,"Automotive, Autonomous Vehicles, Logistics, Machine Learning, Manufacturing",Bay Area,Scotty Labs
-21.185125,-30.844658,5,"Health Care, Machine Learning, SaaS",Bay Area,VeriSIM Life
17.494827,3.6674414,5,Artificial Intelligence,Bay Area,Recogni
26.105654,-27.114883,5,"College Recruiting, Machine Learning, Professional Networking",Bay Area,Jumpstart
31.641869,24.36719,2,"FinTech, Internet",Los Angeles,Dave Inc.
21.441313,1.5355043,5,"Autonomous Vehicles, Computer Vision, Transportation, Travel",Bay Area,AutoX
-21.02092,-22.431204,5,"Financial Services, FinTech, Insurance, InsurTech, Machine Learning, Real Estate",Bay Area,States Title
31.6633,24.334984,2,"Finance, FinTech, Machine Learning, Messaging, Personal Finance",Los Angeles,Stackin'
25.503777,-25.302727,5,"Biotechnology, Life Science, Machine Learning, Pharmaceutical",Bay Area,Insitro
-11.088028,48.84517,5,"Human Resources, Information Technology",Bay Area,Crosschq
4.3800497,26.879694,5,"Computer, Information Technology, Machine Learning, Manufacturing, Robotics, Software",Bay Area,Bright Machines
14.011353,5.6836753,4,"Analytics, Education",New York,Narrator
14.000935,6.096594,5,"Health Care, Machine Learning, Natural Language Processing, Software",Bay Area,Suki
-11.0824,48.854168,5,"Big Data, Business Intelligence, Developer APIs, Enterprise Software, Machine Learning, Natural Language Processing, Text Analytics",Bay Area,Spectrum
2.4268024,-13.142036,5,"Computer Vision, Enterprise Software, Machine Learning",Bay Area,Labelbox
25.88549,-26.693768,5,"Construction, Machine Learning, SaaS",Bay Area,indus.ai
4.073752,26.741325,5,"Agriculture, Food and Beverage, Machine Learning, Software",Bay Area,Afresh Technologies
-15.040035,-3.2690883,4,"eSports, Sports, Video Games",New York,Statespace
-24.774035,-38.5363,4,"B2B, Natural Language Processing, SaaS",New York,Airbud Technologies Inc.
13.645185,6.155177,5,"Machine Learning, Software, Virtual Assistant",Bay Area,Rasa
-14.641317,-3.6304348,3,"Digital Marketing, Machine Learning, Predictive Analytics, Web Design",Boston,WEVO
-21.679855,-31.204397,5,"Customer Service, Knowledge Management, Machine Learning, Natural Language Processing, SaaS",Bay Area,Forethought
31.825785,23.420265,5,"Financial Services, Insurance, Machine Learning",Bay Area,Crux Informatics
-25.292006,5.0803857,5,"Call Center, SaaS",Bay Area,Observe.AI
5.3590255,12.53379,5,"Information Services, Information Technology, Machine Learning, Software",Bay Area,Weights & Biases
-9.62884,-0.40337542,5,"Business Intelligence, Data Center Automation, Information Technology, Software",Bay Area,FortressIQ
-23.10626,-34.320057,4,"Analytics, Employee Benefits, Health Care, Machine Learning",New York,Covera Health
-16.042747,-27.207909,5,"EdTech, Education, Language Learning, Machine Learning, Robotics",Bay Area,ROYBI
-28.435635,8.294877,5,"Machine Learning, SaaS, Software",Bay Area,Ople
38.18387,19.515844,5,"Privacy, Security, Software",Bay Area,Trace Data
-26.62791,8.2839,5,"Developer Tools, Machine Learning",Bay Area,Determined AI
-28.346577,8.239233,0,"Analytics, Machine Learning, Predictive Analytics, SaaS",Austin,Pinpoint
6.2831364,6.4316583,5,"Knowledge Management, Machine Learning, Software",Bay Area,Golden
12.853065,7.970198,5,"Health Care, Health Diagnostics, Information Services, Information Technology, Medical, Medical Device",Bay Area,Notable
-3.8853762,1.8921868,5,"Automotive, Transportation",Bay Area,Populus
11.925299,-48.720078,3,"Hardware, Software",Boston,Lightmatter
-33.828373,27.477543,5,"Automotive, Autonomous Vehicles, Machine Learning",Bay Area,Gatik
-43.82177,-4.5755935,4,"Cyber Security, Enterprise Software, Health Care, Medical Device, Network Security, Software",New York,CyberMDX
4.7645345,29.221037,5,"Computer, Hardware, Software",Bay Area,Luminous Computing
-45.810005,-1.4149308,5,"Education, Information Technology",Bay Area,Navigator
4.635173,28.978315,5,"Cloud Data Services, Enterprise Software, Machine Learning, SaaS",Bay Area,Prophecy.io
